Date,Title,article
"May 22, 2001, 12:40 IST",Chinese HIV+ family seek compensation,"shanghai: a father and daughter infected with hiv from a contaminated blood transfusion are battling for compensation in a landmark court case, a report said today. they became infected after the man's wife, being treated for anemia during pregnancy at two different hospitals in suzhou, eastern china, was given an infected blood transfusion in early 1998. by the time she was diagnosed with aids (acquired immune deficiency syndrome) last year, her husband and daughter were hiv (human immunodeficiency virus) positive. the wenhui daily did not identify the family by name. the woman died in late 2000 and her husband is suing the hospital and blood treatment companies for 13 million yuan (1.57 million dollars). the paper said the man closed his barber shop when his wife fell ill and had spent his life savings on medical bills for his daughter, who is now three years old but may not live beyond five. the suzhou case is the first time a family infected with hiv has taken a case to court. if successful, it could pave the way for a stream of similar lawsuits, if infected people can find the money to take cases to court, the paper said. illegal blood transfusions have infected scores of people in chinese cities and hundreds more in rural areas where illegal blood banks roam the country taking blood from villagers using unsterilized instruments. "
"May 28, 2001, 15:19 IST","NACO declares HIV, AIDS epidemics","patna: with the hiv infection affecting about 38 lakh people with no state remaining free from the virus, the national aids control organisation (naco) has been forced to declare hiv and aids as one of the most complex epidemics of the country. apart from recommending the inclusion of science of hiv in medical education including under-graduate and post-graduate courses, the naco has developed a comprehensive training programme to cover all the medical and para-medical workers functioning at different tiers of health care system for capacity building and development of sustainable systems to combat the disease, a senior official of the bihar aids control society said. medical colleges have been identified as the state level nodal institutinos for imparting training to staff working in different medical colleges as well as training of district core teams of trainers. in each medical college, a team of core trainers drawn from senior faculty of departments of medicine, surgery, paediatrics, obstetrics and gynaecology, pathology, microbiology, community medicine, blood bank services, social scientists, dentistry would be identified and trained. the project directors of state aids control societies have been directed to divide the districts among the exsiting number of medical colleges for imparting training to district core team of trainers, the official said. apart from conducting training, the core team members would also visit the districts alloted to them for ensuring quality control in training programme. in many states such training programme has already been started. the naco has asked all the medical colleges to establish hiv voluntary counselling and testing centres (vct) in the department of microbiology soon. they have also been asked to ensure that the drugs for the treatment of infections are made available to the hiv/aids patients free of cost. the naco has asked the authorities of all the medical colleges to encourage research work in hiv/aids related subjects. the union health minister, dr c p thakur, during his recent visit to patna had also said that medical colleges would be involved in the implementation of all the national health programmes. "
"Aug 13, 2001, 23:36 IST",Levi's contributes to  HIV/AIDS awareness,"bangalore: the levi strauss foundation on monday extended a helping hand to mother sharadadevi social service society (mssss), an ngo involved in education and social development with special focus on promoting hiv/aids awareness education programmes among various communities in south india. levi strauss (india) private limited managing director c.s. suryanarayanan handed over a demand draft of $36,000 to mssss, on behalf of the foundation for the year 2001, to help promote the project. the objective of this project is to educate the most vulnerable section of the community like commercial sex workers and truck drivers. ``levi strauss continues its efforts towards community development in the country and are committed to expand the reach of the community partnership programme,'' suryanarayanan said. levi strauss foundation based in san francisco, acts as a catalyst for positive change in communities around the world, tackling critical social issues through strategic alliances. the foundation has been working for more than three decades with participation over 1,700 employees across the world. this year, the foundation will focus on aids prevention and care, economic empowerment, social justice and youth empowerment. "
"Aug 7, 2001, 23:19 IST",Mehta denies HIV blood given to Jamnagar boy,"gandhinagar: state health minister suresh mehta on monday took strong exception to the manner in which the calling attention motion was raised by congress member usmangani devdiwala regarding the deteriorating health condition of a thalasemia patient after he was allegedly administered blood of an hiv-positive donor in jamnagar. as mehta tried to draw the attention of the chair towards the incident which had occurred in december last, opposition members said that when the speaker had admitted the motion for debate the minister should not challenge the speaker's decision. to this mehta asserted that he wanted to focus the attention of the house tom the fact that the state government has already clarified the matter after it was highlighted by the media in saurashtra. he said a matter raised in the assembly has to be of urgent nature, and should concern people at large and not just an individual as had been done here. ""there are no ingredients of a calling attention motion in this case,"" he said. unmindful of the ruckus by congress members, mehta continued to rap the opposition for raising the issue for the sake of publicity and sought a ruling from the speaker. amidst heated arguments, mehta told the house that the patient was not given hiv-infected blood, and that there was no question of negligence and punitive action against any officials. mehta said the patient's father was given three bottles of blood by a blood bank in jamnagar, which had collected it from a donation camp jointly organised by guru govindsingh hospital and j h hathi memorial blood bank. of these, one bottle which contained hiv-positive blood was immediately destroyed, while the blood from two bottles was given to the patient. "
"Seema Kamdar,Aug 15, 2001, 01:23 IST",Three-in-one drug for HIV receives mixed reaction,"mumbai: the launch of a capsule, a combination of three anti-retroviral drugs, gives hiv patients reason to cheer. specialists on hiv hail it as heralding a ``compact world order"". though the capsule is a welcome relief to hiv patients, its welcome is laced with lots of caution. the good news first. the capsule, triomune, reduces the `pill burden' of hiv patients. they don't have to live with too many pills and schedules, says dr shashank joshi, a consultant with lilavati hospital. ``for sheer convenience and compliance, fixed dose combinations will be the order of the day,"" he says. the cost factor is gratifying (at about rs 1,800, i.e. less than $ 40), says a spokesperson of the people's health organisation, given that an international equivalent of this drug is available for $800 in the grey market. the centre's decision to exempt all hiv/aids drugs from customs and excise duties will bring the cost of triomune further down to rs 1,500, he says. launched by an indian pharmaceutical company last week, triomune combines three anti-retroviral drugs: lamivudine, stavudine and nevirapine. anti-retroviral drugs are reported to boost the immunological system of an hiv patient and prevent the virus from multiplying or infecting new cells, thus bringing down the viral load. apart from bringing hiv drugs within the reach of more hiv-affected people, the price reduction will also encourage many to keep away from quacks and dubious medicines, doctors say. while bringing down treatment costs of hiv infection, doctors are also wary of this instant, pop-easy culture that this drug signals. the medical community nurses some apprehension about its possible misuse by ``enterprising"" doctors who may be emboldened to recommend this drug freely to patients since it makes prescription so much simpler. drug intake should be monitored and be given under ``careful medical supervision"", dr joshi points out. otherwise, there is a very real risk of the drug getting misused, thanks to the way it has simplified medication. in the absence of a special branch dealing with hiv infection and treatment, the possibility of the drug being mis-prescribed or over-prescribed cannot be ruled out, he says. ``usually, doctors do not like to lose their patients and end up scribbling down some medicines even in hiv cases though they may not be trained. with the capsule, they do not even need to be informed,"" says an aids specialist who does not wish to be named. ``triomune rids doctors of the anxiety of determining the precise dosage of three different drugs,"" a doctor says. the capsule culture can work in the u.s. where patient compliance is monitored by giving them simulated drugs for the first two weeks and professional counselling is the norm, says an expert. ``here, there is no such thing as patient counselling or monitoring,"" another expert says. moreover, doctors fear that the low cost would also tempt one to self-medicate, apart from falling prey to doctors untrained in hiv care. the cost of treatment is anyway one component in hiv care. ``hiv cases require extensive monitoring. every three months, the viral load and cd4 count has to be tested. these two tests alone cost rs 4,000. if the drug is taking effect, the viral load will drop and the cd4 count will go up. however, after a while, the patient may develop drug resistance and record reverse results. in that case, he should be administered new drugs along with the ant-retroviral regimen. this pushes up costs considerably,"" an hiv counsellor says. ``very often, doctors recommend drugs to hiv patients even without these two basic tests when these tests are an absolute must,"" she points out. this could have serious repercussions since anti-retroviral drugs can have a few side-effects like nausea, vomiting, abdominal pain, peripheral neuritis, itching, rash and even high liver toxicity. informed prescription is a must in a country where the patients, too, are, by and large, poorly informed about health matters. doctors fear that with cheaper drugs, patients may not want to go through tests which are costlier than a month's treatment. as it is, patients are reluctant to shell out the huge sums for tests. far from boosting immunity, this would create havoc with a patient's system. ``if random use of anti-retroviral drugs is encouraged, users may develop multi-drug resistance because of its liberal use as happened with tb, says dr joshi. price wars are no doubt good for the patient, but only when coupled with trained counselling. given the appalling ignorance on hiv even among the medical community and the fact that aids remains a grey area for medical practice, as there is no clear understanding as to who can and cannot treat the disease, the need for more training programmes for medicos cannot be over-stated, doctors say. ``we need rigorous continuing medical education (cme) programmes for all doctors so that they are better aware of the pitfalls of all kinds of drugs,"" adds an expert. "
"Aug 29, 2001, 02:15 IST",Number of HIV-positive cases shots up to 142,"patna: at least 53 people out of 170 tested hiv positive at the voluntary counselling and testing centre (vctc) in rajendra memorial research institute in only four months from april to july, 2001. with this, the total number of hiv positive case in bihar has soared to 142. whereas in november 2000, the number of people with hiv positive at eleven sentinel surveillance centres stood at 89. stating this at a press conference on tuesday, health minister shakuni chaudhary said that ""the situation had become alarming for bihar as the figures reveal that out of the 35 women tested at the centre, 18 (i.e., more than 50 per cent) were hiv positive"". ""it's a matter of grave concern for us especially due to such an alarming rise in hiv cases among women"", he said. ""in majority of the cases the spouses of a large number of the hiv positive women were working outside bihar"", he added. the truck drivers coming from outside the state are considered to be a potential career of aids virus and for this an ngo, adithi, has been assigned the job to test them, he informed. chaudhary said that a directive had been issued to conduct hiv test on the truck drivers at the borders of the state. in addition to this, money had been released to set up vctcs in all the medical colleges and hospitals of bihar. proposal for opening vctcs at kurji holy family hospital, patna, and duncon hospital, raxaul on bihar-nepal border, is under consideration, he added. he said that aids awareness programme would be paced up. the additional chief medical officers who also work as district nodal officers had been given training for aids detection. training programmes are also being held at government and non-government hospitals of the state. the paramedics of kurji holy family hospital, patna, and nazerath hospital in mokama had already been given the training. aids awareness programme and test camps will be held at all the bihar military police (bmp) headquarters. he said that the proposal relating to aids detection training to all mukhiyas of the gram panchayats and the chairman of zila parishads was under active considertaion. action had been taken to provide the training at high school level also, he said. the minister said that more than 2.31 lakh people of the state had been found to be suffering from sexually transmitted diseases (stds). also present at the press conference was the minister of state for health, akhilesh singh, who said that many people coming for the hiv test at the centre were biharis staying outside the state. "
"Kalpana Jain,Aug 27, 2001, 12:13 IST","<font color=#808080 size=-1 style=""text-decoration:none"">LIVING WITH HIV</font><br>Positive people pick up the pieces","new delhi: rama pandian, recipient of several awards for being a fine hospital laboratory analyst, is giving a matter-of-fact account of his life, when suddenly he breaks down. instinctively covering his face, he splutters a few sentences to describe a family life devastated by aids and the pain of being yanked from his job. but the depression is wiped away as determinedly as traces of tears from his face. the abrupt end to his vocation has made him take up a new mission: of helping others rebuild their lives through the wreckage left behind by hiv. as the head of an organisation called the tamil nadu network of positive people, tnp plus, he is working to restore optimism amongst those infected. and he is not alone. as hiv enters the confines of the middle-class, educated young men and women are trying to find a way to live. after first surfacing in chennai in sex workers 16 years ago, hiv is now infecting society's fittest and brightest ^ doctors, engineers, lawyers, bureaucrats, businessmen. away from the public eye, several of the infected are fanning out to different parts of the country to set up support groups with the help of doctors and ngos. apart from big cities, groups have emerged in districts such as namakkal in tamil nadu and small towns like nagpur in maharashtra. it is a measure of the spread of the deadly virus that each of these groups, despite their limited reach, has a membership of no less than a thousand. so, lilabanta, an engineer and deepak, a young businessman, teach hundreds in imphal how to overcome the fear of an impending death. elango, in bangalore, provides support to the countless who come to him from all over karnataka. abraham kurien of kerala shuttles between various city centres, coordinating activities and reaching out to the affected. and in mumbai, members of the support group rush to help distressed people wherever they want to meet them to ensure secrecy. women, usually victims of hiv after marriage, are also coming forward to hold the hands of those less courageous. so anita, infected after her marriage to an engineer, not only continues with her studies after the death of her husband and brings up her three-year-old daughter, but also rushes to the assistance of those who need her help in vishakhapatnam. kousalya in chennai provides the support of a group sensitive to needs of women from all parts of the country. it's a whole new world with hiv where life does not necessarily end with the four letters of aids. (names have been used with consent). facts file *hiv positive: a person carrying the virus with no apparent signs of illness. an estimated 3.8 million in india are infected. *full-blown aids: the immune system is completely ravaged by hiv. the person dies as a result of body being invaded by several diseases. (this is the first of a seven-part series that will appear on monday) "
"Aug 27, 2001, 22:44 IST","70,000 HIV positive patients in Kerala","thiruvananthapuram: an estimated 70,000 people have been tested hiv positive in kerala so far, state health minister p sankaran said on monday. talking to reporters on the eve of opening of the first voluntary counselling and testing centre at the public health laboratory here, sankaran said there were 856 full-blown aids patients in the state. the government would open eight more such centres in the state. they would be set up in the six medical colleges and in the two regional public health laboratories, he said. the centre was set by the kerala state aids control society as part of the national aids control programme. "
"Kalpana Jain,Sep 9, 2001, 22:24 IST",An epidemic of missing HIV patients,"new delhi: at a missionary-run hospital in patna, dr ravi sahay has of late started getting a steady trickle of hiv affected patients. but instead of treating them, he turns them away for fear of contracting the virus. and he believes other doctors need to be warned as well. so, he refers these patients to a government-run set up, announcing their hiv positive status in red ink. the patients are never seen again. their records never show up in government hospitals or even in the annual surveillance figures handed out by the national aids control organisation for the past three years on the basis of the reports collected from states. but these patients do appear as cold statistics in the records of private testing centers. just one centre in patna, sen diagnostics, has 615 confirmed cases. but these are not even considered by the government. officially, bihar remains a low prevalence state, with only 44 reported cases. clearly the annual government count, which shows a gradual slowing down of the rate of infection over three years - from 3.5 million in 1998 to 3.86 in 2000 - is not measuring the epidemic accurately. even if bihar's example were to be attributed to inefficient overall governance, serious gaps remain in the annual surveillance exercise even in states with a strong administration. project director of the national aids control organisation, jvr prasada rao, admits there are problems. ""pinpointed data from surveillance is not reliable. but over a period of time a trend is discernible. you have to have validation exercises by taking actual observations from a community nearby."" so states are still trying to come up with an efficient system, even as surveillance, conducted over a three-month period, from august 1 to october 31, at 232 designated sites all over the country, forms the basis of future policy. as of now, sample collection remains faulty even at the best of centres. dr v. lakhshmi, at nizam's institute of medical sciences, hyderabad, who is also a regional coordinator for surveillance, agrees that some centres may not be able to collect the requisite number of samples. for instance, victoria hospital in bangalore could get only half the requisite number of std cases last year. there are other problems as well: in kerala, there were no kits for testing at some centres, even after the blood had been collected. these samples then had to be thrown away. in manipur, transportation of samples to testing sites is not easy. moreover, sample vials are not always properly sealed and their contents are known to spill. at several centres in bihar, sample collection is barely a tenth of what is required. even the capital city of patna collected only 46 samples from pregnant women against the stipulated 400. districts such as darbhanga sent only 33 samples from std patients, when the required number was 250. an important statement by the union health minister recently that the epidemic has plateaued off is based on such surveillance. "
"Oct 10, 2001, 22:08 IST",A virus that can slow down HIV's growth,"udupi: prof b.m. hegde, vice-chancellor of manipal academy of higher education (mahe), manipal and renowned physician said here recently, gb virus c or hepatitis g virus, that was discovered about six years ago, allowed aids patients to live much longer by slowing the progress of the disease. he added, two new studies, one at university of iowa, school of medicine with 363 aids patients and another at the hanover medical school in germany with 197 patients, had shown that concurrent infection with gb virus c, in those patients suffering from aids, had reduced the virus by nearly 99 per cent. ``this is also confirmed by invitro (done outside the human body) studies where the peripheral blood of aids patients was studied for their infected mononuclear blood cells. twenty-four hours after being inoculated with gb virus c, the aids patients' mononuclear cells had cleared their virus by 99 per cent'', hegde added. ``researchers knew the gb virus c for a long time but as it was not capable of producing any disease in human beings, it was not studied further. it belongs to the same family of viruses, like hepatitis c, yellow fever and dengue. the present research was taken up by sheer accident'', hegde said. ``when researchers discover more about the exact mechanism of this new virus, there will be many more options for treating aids patients''. hegde however cautioned, doctors and patients must not take the gb virus injection c to prevent aids. "
